id,osm_type,lon,lat,name,category,subcategory,address,website
562490333,way,-76.5018671,42.4119917,College Circle 141,building,yes,141 College Circle,
562490334,way,-76.5017865,42.4113983,College Circle 151,building,yes,151 College Circle,
562490338,way,-76.4995956,42.4112221,College Circle 170,building,yes,170 College Circle,
562490339,way,-76.4991955,42.4118089,College Circle 180,building,yes,180 College Circle,
562490340,way,-76.4995081,42.4123891,College Circle 190,building,yes,190 College Circle,
562490681,way,-76.4985131,42.4119079,College Circle 185,building,yes,185 College Circle,
562490686,way,-76.4985831,42.4114881,College Circle 181,building,yes,181 College Circle,
562490689,way,-76.4988187,42.4111012,College Circle 175,building,yes,175 College Circle,
562490692,way,-76.4992219,42.4107975,College Circle 171,building,yes,171 College Circle,
562496383,way,-76.5032292,42.4124188,1020,building,yes,1020 Danby Road,
562496385,way,-76.5038886,42.4118992,3,building,yes,3 Vista Lane,
562496386,way,-76.5036845,42.4124558,1,building,yes,1 Vista Lane,
562544244,way,-76.5053089,42.4144912,136-138,building,apartments,136-138 Bella Vista Circle,
562544245,way,-76.5054463,42.414238,130-132,building,apartments,130-132 Bella Vista Circle,
562544246,way,-76.5054409,42.4139835,126-128,building,apartments,126-128 Bella Vista Circle,
562544247,way,-76.5048212,42.414344,111-113,building,apartments,111-113 Bella Vista Circle,
562544249,way,-76.5049102,42.4140816,115-117,building,apartments,115-117 Bella Vista Circle,
562544250,way,-76.5050356,42.4137646,119-121,building,apartments,119-121,
562544251,way,-76.5053997,42.4136209,123-125,building,apartments,123-125 Bella Vista Circle,
562544252,way,-76.5057621,42.4136815,127-129,building,apartments,127-129 Bella Vista Circle,
562544253,way,-76.5059077,42.4139452,131-133,building,apartments,131-133 Bella Vista Circle,
562544255,way,-76.5059231,42.4142229,135-137,building,apartments,135-137 Bella Vista Circle,
562544256,way,-76.5059242,42.4144758,139-141,building,apartments,139-141 Bella Vista Circle,
562544257,way,-76.5671747,42.3865921,Millers Motorworks,shop,motorcycle,1281 Elmira Road,
562577773,way,-76.4881644,42.4378226,109,building,apartments,109 South Quarry Street,
562577774,way,-76.4866752,42.4358254,120 Valentine,building,apartments,120 Valentine Place,
562577775,way,-76.4856458,42.4356114,113 Valentine,building,apartments,113 Valentine Place,
562577776,way,-76.4867349,42.436604,112 Valentine,building,apartments,112 Valentine Place,
562577777,way,-76.4854928,42.4365893,915,building,apartments,915 East State Street,
562577778,way,-76.485745,42.436714,911,building,apartments,911 E State Street,
562577779,way,-76.4859864,42.4368546,905,building,apartments,905 E State Street,
562577780,way,-76.4861285,42.4370248,901,building,apartments,901 E State Street,
562577781,way,-76.4862907,42.4367357,106 Valentine,building,apartments,106 Valentine Place,
562577782,way,-76.4867884,42.4373049,809,building,apartments,809 E State Street,
562577783,way,-76.4869949,42.4374425,805,building,apartments,805 E State Street,
562577784,way,-76.4871665,42.4375831,801,building,apartments,801 E State Street,
562577786,way,-76.4875448,42.4378305,715,building,apartments,715 East State Street,
562577789,way,-76.4877942,42.4379532,711,building,apartments,711 East State Street,
562577790,way,-76.4879954,42.4380799,707,building,apartments,707 East State Street,
562577791,way,-76.4882126,42.4382284,703,building,apartments,703 East State Street,
563044147,way,-76.4890317,42.4454213,Delta Tau Delta,building,residential,104 Mary Ann Wood Drive,
570293488,way,-76.4627324,42.4475975,Large Animal Isolation,building,yes,113 Farrier Road,
570293610,way,-76.4623584,42.4477283,Community Practice Service Bldg,building,yes,968 Campus Road,
570300164,way,-76.4797249,42.4428544,Faculty Tennis Club Building,building,yes,168 Hoy Road,
580249133,way,-76.4552984,42.4434682,,amenity,parking,,
580249134,way,-76.4551349,42.4454407,,amenity,parking,,
586130942,way,-76.4558569,42.4539604,Plant Production Facility,building,yes,403 Forest Home Drive,
589108467,way,-76.4887464,42.4464643,Psi Upsilon Fraternity,building,yes,2 Forest Park Lane,
589908875,way,-76.4657545,42.4810928,,amenity,parking,,
590590127,way,-76.4885438,42.4460033,Sigma Phi Society,building,house,1 Forest Park Lane,
592854907,way,-76.4493565,42.4211648,,leisure,pitch,,
604421096,way,-76.4880637,42.451021,Chi Psi Fraternity,building,residential,810 University Avenue,
605962075,way,-76.4968343,42.4447761,Our Lord's Temple Church of God in Christ,amenity,place_of_worship,443 North Tioga Street,
606916577,way,-76.4569238,42.3997222,,amenity,parking,,
607152844,way,-76.4848209,42.4408428,Ithaca Fire Department East Hill Fire Station #2,amenity,fire_station,309 College Avenue,
607152891,way,-76.4756155,42.4401569,,amenity,parking,,
607152920,way,-76.4595158,42.4371813,,amenity,parking,,
607811563,way,-76.4967013,42.441935,,amenity,parking,,
607811564,way,-76.496785,42.443339,"Guttman & Reiter, Lillian J. Hines, Veronica E. Fox, Todd L. Livingston",office,lawyer,411 North Tioga Street,
607811566,way,-76.4968101,42.4431126,P. N. Tavelli & W. E. McDermott,office,lawyer,405 North Tioga Street,
610828144,way,-76.4807797,42.4520177,626 Thurston Parking,amenity,parking,,
610828147,way,-76.475219,42.4557078,Program House Dr. Parking,amenity,parking,,
610828149,way,-76.4768803,42.4549327,Mews Hall Loading Dock,amenity,parking,,
617192964,way,-76.5210307,42.4163623,,leisure,swimming_area,,
618015191,way,-76.4635224,42.4695692,429 Warren Road,building,yes,429 Warren Road,
618017464,way,-76.463342,42.4697872,501 Warren Road,building,yes,501 Warren Road,
625491206,way,-76.4726382,42.4487624,,amenity,parking,,
628927246,way,-76.4846127,42.4414427,Breazzano Center,building,university,215 Dryden Road,
628927248,way,-76.484856,42.4399058,Grand View House,building,yes,,
630741431,way,-76.4897692,42.4442864,The Dorm Hotel,tourism,hotel,518 Stewart Avenue,https://thedormhotel.com/
648333223,way,-76.4879313,42.4443618,Cornell Center for Jewish Living,building,house,106 West Avenue,
648333224,way,-76.4889171,42.4445581,Kappa Alpha Theta Sorority,building,residential,519 Stewart Avenue,
648333227,way,-76.48803,42.4475246,Lyon Hall,building,dormitory,,
657444812,way,-76.4831504,42.4539191,Kappa Kappa Gamma,building,yes,508 Thurston Avenue,
657444813,way,-76.4834946,42.4541854,Mott House of Christian Union,building,yes,203 Wyckoff Avenue,
