id,type,lon,lat,name,category,subcategory,description,location,start_time,end_time,website
trail_503550231,Trail,-76.3553599,42.3445754,Y9,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550231
trail_503550236,Trail,-76.3549874,42.345971,Y8 (Short Bus),Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550236
trail_503550240,Trail,-76.3587715,42.3437535,Y7,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550240
trail_503550249,Trail,-76.3590391,42.3446325,Unlabeled connector,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550249
trail_503550251,Trail,-76.3603503,42.3449308,Y6,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550251
trail_503550257,Trail,-76.3580604,42.3334748,R6 Glove,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550257
trail_503550270,Trail,-76.3454379,42.3215269,G1 (Green Trail),Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550270
trail_503550292,Trail,-76.3587364,42.3269371,Shindagin Hollow MAPPWD Access Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550292
trail_503550295,Trail,-76.3597217,42.336123,R1 (Chair Trail),Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: ground.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550295
trail_503631150,Trail,-76.5838908,42.401635,Red Pine Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503631150
